gene1,gene2,score
10023809050,10025909172,1.0
10023812264,10023833115,1.0
10023823479,10023814510,1.0
10023820660,10025909172,1.0
10023828170,10023816224,0.975
10025929556,10023812264,0.965
10025910121,10023815266,0.9508333333333334
10023827916,10025907055,0.93
10023824376,10025909172,0.925
10025906620,10023810409,0.9104166666666668
10023815322,10025911097,0.8566666666666667
10023821950,10025913703,0.7646250000000001
10023828170,10025910121,0.715
10025910394,10025919866,0.6302857142857143
10023815266,10025913703,0.521375
10026394134,10025931577,0.502116341991342
10023819843,10025910121,0.48682142857142874
10023815266,10023811649,0.4862499999999999
10023812977,10023822632,0.465
10025909612,10023815664,0.43290476190476185
10023845149,10023811649,0.42100000000000004
10033668510,10023824916,0.41244047619047614
10025911973,10025908848,0.395
10023826070,10025911097,0.38
10023827916,10023836054,0.37
10023830526,10025931577,0.365
10033668638,10033668524,0.365
10023815664,10023811649,0.3635
10023828170,10023810831,0.36
10025908848,10025913703,0.35766666666666663
10023810409,10033668859,0.355
10025907055,10023809050,0.35
10023828170,10023815084,0.335
10023810409,10023811933,0.31
10025910121,10023819047,0.3
10025911973,10023811649,0.29333333333333333
10023815322,10023816681,0.29
10023815084,10025913703,0.29
10023814159,10023810409,0.2828333333333333
10026394134,10025911097,0.27
10025911097,10023815266,0.27
10023807788,10023811933,0.26853571428571427
10025909612,10025906620,0.26
10023810409,10023811649,0.26
10023828170,10023810409,0.24
10023822632,10025911931,0.235
10023812977,10025931577,0.235
10023822632,10023823479,0.235
10025911097,10023822632,0.225
10023811649,10023818441,0.215
10023831050,10023811649,0.215
10033668859,10023811649,0.21
10025909612,10023821950,0.205
10023810409,10025911097,0.205
10023812264,10025931577,0.205
10025909612,10023816224,0.20083333333333336
10025910121,10023813657,0.19875
10023824376,10023806267,0.195
10025919866,10023810409,0.17833333333333334
10023845149,10025911097,0.17
10025910121,10023815664,0.165
10023819047,10023811649,0.1625
10023833115,10023811649,0.15108333333333335
10025909612,10023818441,0.15
10025909612,10023846133,0.15
10023812058,10023815322,0.15
10025906503,10023825699,0.14
10023816888,10025906503,0.14
10031919807,10023804956,0.134
10023806267,10033668524,0.13125
10033668510,10023807654,0.1252261904761905
10033668510,10023823479,0.1252261904761905
10031919807,10033668881,0.125
10023831050,10023815322,0.12
10023830526,10023815322,0.12
10023811933,10023811649,0.11
10025909172,10033668524,0.10625
10023827916,10033668524,0.105
10025910867,10023806267,0.105
10025909612,10033668859,0.1
10023826844,10025913703,0.1
10023815322,10023811933,0.095
10025909587,10023822632,0.09
10025909612,10023808640,0.085
10023812338,10023822632,0.085
10023822632,10023811933,0.08
10025904476,10025913703,0.06994047619047619
10025902173,10023804956,0.06994047619047619
10023816888,10025913703,0.06994047619047619
10023805853,10023804956,0.06994047619047619
10023831050,10025913703,0.06
10023807788,10023810831,0.05416666666666666
10023824049,10023807788,0.05416666666666666
10023830526,10023822632,0.05
10025911931,10025913703,0.04733333333333333
10023814159,10025910394,0.04203571428571428
10025910394,10023824049,0.04203571428571428
10033668510,10023824049,0.04203571428571428
10023845149,10023807788,0.035
10023812338,10025913703,0.035
10023812338,10023807788,0.025
10023815322,10033668859,0.025
10023815084,10025906503,0.025
10023812977,10026391091,0.025
10023815322,10023815266,0.025
10023826844,10033668881,0.02
10023826844,10033669027,0.02
10023804956,10033668524,0.02
10025910394,10023822632,0.02
10033668510,10023822632,0.02
10023807788,10023821275,0.01
10023830526,10023807788,0.01
10026391091,10023810831,0.01
10023824049,10026391091,0.01
10023807788,10023833115,0.01
10023807788,10025931577,0.01
10023822632,10023818441,0.005
10023815084,10023815897,0.005
10023812058,10023822632,0.005
10023816224,10023807788,0.005
10025919866,10033669027,0.005
10023824916,10023807654,0.005
10023826070,10023807788,0.005
10033668900,10023810409,0.005
10023807788,10023818441,0.005
10025910121,10025903318,0.005
10023823479,10023814349,0.005
10023846133,10023807788,0.005
10023812338,10023814349,0.005
10025907055,10023831050,0.0
10023845149,10023804956,0.0
10023833115,10023807900,0.0
10023815929,10023823479,0.0
10023827916,10023823479,0.0
10023816888,10023805853,0.0
10025907055,10023823479,0.0
10025909172,10023814510,0.0
10023814349,10025931577,0.0
10023815266,10033668524,0.0
10031920909,10025909820,0.0
10023804956,10025913703,0.0
10023825699,10023813657,0.0
10025910394,10023830526,0.0
10025904476,10025911931,0.0
10033668638,10023813657,0.0
10025911931,10033668850,0.0
10025910121,10023814349,0.0
10025906503,10023809050,0.0
10033668947,10025913703,0.0
10025906312,10023807541,0.0
10023828170,10023825699,0.0
10023804954,10031920909,0.0
10023826844,10023814509,0.0
10025919866,10025910867,0.0
10023816224,10023814349,0.0
10025909612,10023805853,0.0
10025909820,10023824376,0.0
10023820660,10023815664,0.0
10025910867,10023807900,0.0
10031920658,10025911931,0.0
10033668510,10023815929,0.0
10025902173,10023814510,0.0
10025920811,10025908848,0.0
10033668510,10023811933,0.0
10025904476,10031920658,0.0
10023845149,10033668850,0.0
10023845149,10023814349,0.0
10031919807,10033668524,0.0
10023824916,10023823462,0.0
10023827916,10023813657,0.0
10025929556,10033668881,0.0
10025904476,10023806267,0.0
10023827916,10023815266,0.0
10033668638,10023816681,0.0
10025907055,10025911931,0.0
10026394134,10025902173,0.0
10025906312,10023825699,0.0
10025907055,10023833115,0.0
10033669034,10033668524,0.0
10023812338,10023804954,0.0
10033669034,10023808029,0.0
10031920909,10026391091,0.0
10025911973,10023806267,0.0
10023826844,10023808029,0.0
10023826844,10023814510,0.0
10023819843,10033669027,0.0
10023824916,10025909587,0.0
10025902173,10023850308,0.0
10023846133,10033669027,0.0
10023809050,10025931577,0.0
10025904476,10023815266,0.0
10026391091,10023807654,0.0
10025911097,10023806267,0.0
10025909612,10023809050,0.0
10023811933,10025903318,0.0
10033668510,10023815322,0.0
10023816888,10023807900,0.0
10023804954,10031919807,0.0
10033668630,10023811933,0.0
10023807747,10033668850,0.0
10033668510,10023807900,0.0
10023836054,10023819047,0.0
10023804954,10025913703,0.0
10023816888,10023811933,0.0
10023826844,10023807747,0.0
10023824916,10023814509,0.0
10023830526,10023805853,0.0
10025909172,10023827819,0.0
10033668510,10025911973,0.0
10025910394,10023823462,0.0
10033668630,10025919866,0.0
10023804954,10023824376,0.0
10023808029,10023827819,0.0
10023805853,10025931577,0.0
10023814349,10023807900,0.0
10023821496,10031920658,0.0
10023823462,10023815929,0.0
10025906312,10025907055,0.0
10023820660,10023812977,0.0
10023836054,10023813657,0.0
10026394134,10023815929,0.0
10023808029,10023819047,0.0
10023824376,10023808640,0.0
10023815084,10023806267,0.0
10023807900,10023819047,0.0
10025909820,10025910867,0.0
10023826844,10023818441,0.0
10033668630,10025906620,0.0
10025907055,10023815897,0.0
10025906620,10023807788,0.0
10023807541,10033668850,0.0
10023812058,10033668881,0.0
10023807900,10025903318,0.0
10033668630,10033668850,0.0
10023816224,10033668638,0.0
10025906503,10023811649,0.0
10023823462,10025910867,0.0
10033668850,10023816681,0.0
10023831050,10023827819,0.0
10025906312,10023819843,0.0
10025911973,10025907055,0.0
10023826844,10025906620,0.0
10031920658,10033668524,0.0
10033668900,10025909820,0.0
10023815929,10023808640,0.0
10023827916,10025911973,0.0
10023804954,10023823479,0.0
10025907055,10023810831,0.0
10025907055,10023818441,0.0
10023815322,10033669027,0.0
10033668510,10023805853,0.0
10023816888,10033668859,0.0
10033668947,10023807654,0.0
10023815322,10025909172,0.0
10025911097,10033668881,0.0
10025910394,10025904476,0.0
10025910394,10025911973,0.0
10025929556,10023824376,0.0
10023830526,10023824376,0.0
10025906312,10025905559,0.0
10025902173,10025910121,0.0
10023809050,10023814510,0.0
10023816224,10026391091,0.0
10023820660,10023810831,0.0
10026391091,10023808640,0.0
10025909587,10023804956,0.0
10023823462,10023807900,0.0
10023810409,10023809050,0.0
10023814510,10033668524,0.0
10025911097,10023825699,0.0
10023816888,10023811649,0.0
10023815664,10025903318,0.0
10025920811,10023812264,0.0
10023804956,10023807900,0.0
10023824376,10023807654,0.0
10023846133,10023809050,0.0
10023828170,10023814349,0.0
10033668510,10023850308,0.0
10023821950,10033668900,0.0
10023815322,10031920909,0.0
10023827916,10023815322,0.0
10023845149,10023815929,0.0
10023815929,10023814510,0.0
10023821496,10033669034,0.0
10033668630,10023819843,0.0
10023810409,10023806267,0.0
10023820660,10023807747,0.0
10023804954,10023806267,0.0
10033668850,10023813657,0.0
10023807788,10023819047,0.0
10033668630,10023804954,0.0
10033668638,10023807654,0.0
10031920909,10025911931,0.0
10025906620,10025902173,0.0
10023810409,10025913703,0.0
10025919866,10023807900,0.0
10025909172,10033668881,0.0
10023819843,10023824376,0.0
10023827916,10025931577,0.0
10023827916,10023816681,0.0
10023824916,10023820660,0.0
10033669034,10023824919,0.0
10023807788,10023815266,0.0
10023806267,10023821275,0.0
10031919807,10026391091,0.0
10025904476,10023812977,0.0
10023826070,10033668881,0.0
10033668630,10023818441,0.0
10025910394,10025909587,0.0
10023821950,10031920658,0.0
10023815929,10023811649,0.0
10023819843,10033668850,0.0
10025904476,10023813657,0.0
10033668900,10023824919,0.0
10023826844,10023815929,0.0
10023826844,10023836054,0.0
10023824916,10023826844,0.0
10023804954,10025909172,0.0
10023804956,10023813657,0.0
10025906312,10025904476,0.0
10023808029,10023828170,0.0
10025906312,10025910121,0.0
10025906620,10023815897,0.0
10023823462,10033668850,0.0
10023819843,10023807747,0.0
10023826844,10023815084,0.0
10023819843,10031920909,0.0
10025910394,10023826070,0.0
10025904476,10025906503,0.0
10023804954,10023824919,0.0
10025910394,10023807900,0.0
10023827916,10025909612,0.0
10023816888,10025929556,0.0
10023804954,10023815322,0.0
10023826844,10025905559,0.0
10025910394,10033669027,0.0
10023828170,10025902173,0.0
10023812338,10033668900,0.0
10025920811,10025919866,0.0
10023804954,10023850308,0.0
10025910121,10031920658,0.0
10025906312,10023822632,0.0
10033668510,10023814509,0.0
10023824916,10025920811,0.0
10025920811,10023814509,0.0
10023824916,10023816888,0.0
10033668510,10025907055,0.0
10025911973,10023807747,0.0
10023820660,10023827819,0.0
10031920658,10023806267,0.0
10033668900,10023812264,0.0
10025903318,10023821275,0.0
10023821496,10023807788,0.0
10025911973,10023814349,0.0
10025911973,10033669027,0.0
10025906312,10023836054,0.0
10025910394,10023820660,0.0
10023815664,10023850308,0.0
10023826844,10025909172,0.0
10023815322,10025910867,0.0
10025904476,10025909172,0.0
10025906620,10023808029,0.0
10023821496,10025913703,0.0
10023845149,10023815897,0.0
10023824919,10023809050,0.0
10025905559,10023850308,0.0
10023836054,10023814510,0.0
10023810409,10033668524,0.0
10023836054,10023815664,0.0
10023815929,10023815664,0.0
10031920658,10025910867,0.0
10025910394,10026394134,0.0
10026391091,10033668524,0.0
10025906503,10033668850,0.0
10031919807,10023809050,0.0
10025911973,10025902173,0.0
10025904476,10025903318,0.0
10023828170,10033668850,0.0
10025904476,10023814510,0.0
10025902173,10023816681,0.0
10033668947,10023825699,0.0
10023813657,10033669027,0.0
10023845149,10031920658,0.0
10025909587,10026391091,0.0
10025906620,10023814349,0.0
10025911931,10033669027,0.0
10023809050,10023814509,0.0
10023827916,10033669034,0.0
10023831050,10025910867,0.0
10023823462,10023807747,0.0
10023812264,10025906503,0.0
10033668947,10023814510,0.0
10033668947,10025910121,0.0
10025931577,10033668524,0.0
10023813657,10023815897,0.0
10023824916,10023815929,0.0
10025910867,10023813657,0.0
10023806267,10033668859,0.0
10031919807,10025903318,0.0
10023845149,10023824376,0.0
10023820660,10025929556,0.0
10023824916,10023806267,0.0
10025904476,10023815664,0.0
10023825699,10023819047,0.0
10025910394,10023813657,0.0
10023830526,10023827819,0.0
10023804954,10023812058,0.0
10025904476,10023812264,0.0
10023821496,10025908848,0.0
10033668900,10025929556,0.0
10023814159,10023804956,0.0
10023821950,10026391091,0.0
10033668630,10023827819,0.0
10023833115,10033668850,0.0
10031920909,10023822632,0.0
10025910867,10023821275,0.0
10025907055,10023830526,0.0
10023820660,10023807654,0.0
10023820660,10023823462,0.0
10023816888,10023815897,0.0
10025909612,10023827819,0.0
10023826070,10031919807,0.0
10025929556,10023807788,0.0
10025910394,10025902173,0.0
10023816888,10023822632,0.0
10033668510,10025902173,0.0
10023814159,10023825699,0.0
10023812058,10025905559,0.0
10031920909,10023808640,0.0
10023821275,10033668524,0.0
10023850308,10023811933,0.0
10023816888,10026391091,0.0
10033668947,10023815664,0.0
10023814349,10023810831,0.0
10023815929,10026391091,0.0
10023824376,10026391091,0.0
10031919807,10025902173,0.0
10023821496,10023804954,0.0
10023814159,10033668947,0.0
10025902173,10023811649,0.0
10023830526,10023825699,0.0
10023826070,10025904476,0.0
10031920658,10025913703,0.0
10033669034,10025908848,0.0
10023816888,10026394134,0.0
10033668630,10023816224,0.0
10023807541,10023827819,0.0
10023816888,10023815664,0.0
10033668947,10023833115,0.0
10033668900,10025911097,0.0
10023815266,10023806267,0.0
10023819843,10033668638,0.0
10023823462,10023825699,0.0
10023810409,10031920909,0.0
10023815929,10025911097,0.0
10033668850,10023818441,0.0
10025910394,10023821950,0.0
10025920811,10023807900,0.0
10033669034,10033668881,0.0
10023820660,10023808640,0.0
10023806267,10023814349,0.0
10023824916,10025911097,0.0
10023816888,10025911097,0.0
10025904476,10023807654,0.0
10023827819,10023818441,0.0
10033668510,10025903318,0.0
10023836054,10023823479,0.0
10023807747,10023815897,0.0
10025905559,10025910121,0.0
10023827916,10023823462,0.0
10023807541,10023807747,0.0
10023836054,10023816224,0.0
10023836054,10023807654,0.0
10023825699,10023807654,0.0
10033668630,10025908848,0.0
10025906312,10023810831,0.0
10025920811,10023828170,0.0
10023823479,10023804956,0.0
10033669034,10023824376,0.0
10033669034,10023811649,0.0
10025902173,10023819047,0.0
10023816888,10023812977,0.0
10025902173,10023823479,0.0
10025906312,10033668900,0.0
10025909172,10023811649,0.0
10023846133,10033668947,0.0
10023824916,10023819047,0.0
10031920658,10023823479,0.0
10023804954,10023814509,0.0
10033669034,10025909820,0.0
10023815322,10023824376,0.0
10025909820,10026391091,0.0
10023850308,10023815266,0.0
10023814510,10026391091,0.0
10023827916,10023819047,0.0
10025904476,10023812058,0.0
10023808029,10033668859,0.0
10025905559,10023821275,0.0
10023812338,10031919807,0.0
10025906312,10023816888,0.0
10023828170,10023850308,0.0
10025911931,10025909172,0.0
10031920909,10023818441,0.0
10025906620,10023809050,0.0
10023850308,10025906503,0.0
10025910394,10023812058,0.0
10023812058,10033668524,0.0
10025902173,10033668850,0.0
10023824916,10023812264,0.0
10023845149,10033668638,0.0
10025902173,10023827819,0.0
